b,H,supports,rep,print_slot,weight_g,strength_N,stiff_N_mm,failure_note,source_csv
1.3,12.8,proper,1,1,14.0,568.9,105.2,"Vertical crack propigation up to the top flange initially. Initial force drop due to crack propigation was not enough to trigger test end criteria. After drop, beam was also prone to bending on the test stand.",B_1.3_H_12.8_PS1_1.csv
1.3,12.8,proper,2,3,13.9,561.7,104.3,"Vertical crack propigation up to the top flange initially. Initial force drop due to crack propigation was not enough to trigger test end criteria. After drop, beam was also prone to bending on the test stand.",B_1.3_H_12.8_PS2_3.csv
1.3,12.8,proper,3,5,14.0,567.2,104.4,"Vertical crack propigation up to the top flange initially. Initial force drop due to crack propigation was not enough to trigger test end criteria. After drop, beam was also prone to bending on the test stand.",B_1.3_H_12.8_PS3_5.csv
1.3,12.8,proper,4,3,13.9,575.8,106.8,"Vertical crack propigation up to the top flange initially. Initial force drop due to crack propigation was not enough to trigger test end criteria. After drop, beam was also prone to bending on the test stand.",B_1.3_H_12.8_PS4_3.csv
1.3,12.8,proper,5,1,13.9,575.6,105.7,"Vertical crack propigation up to the top flange initially. Initial force drop due to crack propigation was not enough to trigger test end criteria. After drop, beam was also prone to bending on the test stand.",B_1.3_H_12.8_PS5_1.csv
1.3,12.8,improper,1,2,14.0,547.5,105.2,Vertical crack propigation up to the top flange. Also separation of the top flange from the web.,B_1.3_H_12.8_IS1_2.csv
1.3,12.8,improper,2,4,13.9,514.7,100.9,Separation from the top flange and the web.,B_1.3_H_12.8_IS2_4.csv
1.3,12.8,improper,3,6,13.9,495.5,102.5,Vertical crack propigation up to the top flange. Also separation of the top flange from the web.,B_1.3_H_12.8_IS3_6.csv
1.3,12.8,improper,4,4,13.9,551.6,104.3,Vertical crack propigation up to the top flange.,B_1.3_H_12.8_IS4_4.csv
1.3,12.8,improper,5,2,13.9,548.5,104.2,Vertical crack propigation up to the top flange.,B_1.3_H_12.8_IS5_2.csv
