print_order,failure_note
1,Twisted off the test stand and flipped over
2,Complete vertical fracture across the center of the beam
3,Seperation of the top flange and the web. No vertical fracture
4,Complete vertical fracture across the center of the beam
5,Complete vertical fracture across the center of the beam
6,Complete vertical fracture across the center of the beam
7,"Vertical fracture on the bottom of the beam, but not completely through the beam"
8,Complete vertical fracture across the center of the beam
9,Seperation of the top flange and the web. No vertical fracture. Piece of the web along the center of the beam also broke off.
10,Complete vertical fracture across the center of the beam. Some jaggedness in the fracture between the regions of the top flange and the web.
11,Complete vertical fracture across the center of the beam. Some jaggedness in the fracture between the regions of the top flange and the web.
12,"Vertical fracture on the bottom of the beam, but not completely through the beam. Test had to be stopped due to crack propigation and slow decreasing stress"
13,Complete vertical fracture across the center of the beam
14,Fracture vertically as well as complete seperation of the top flange and the web.
15,Complete vertical fracture across the center of the beam. Small middle part of the top flange also fractured and seperated from the web
16,"Vertical fracture on the bottom of the beam, but not completely through the beam"
17,Complete vertical fracture across the center of the beam
18,"Vertical fracture on the bottom of the beam, but not completely through the beam"
19,Complete vertical fracture across the center of the beam
20,"Vertical fracture on the bottom of the beam, but not completely through the beam"
21,Complete vertical fracture across the center of the beam
22,Complete vertical fracture across the center of the beam
23,Complete vertical fracture across the center of the beam. Small middle part of the top flange also fractured and seperated from the web
24,Complete vertical fracture across the center of the beam
25,"Vertical fracture on the bottom of the beam, but not completely through the beam"
26,"Vertical fracture on the bottom of the beam, but not completely through the beam"
27,Complete vertical fracture across the center of the beam
28,Complete vertical fracture across the center of the beam
29,"Vertical fracture on the bottom of the beam, but not completely through the beam"
30,Seperation of the top flange and the web. No vertical fracture
31,Complete vertical fracture across the center of the beam
32,Complete vertical fracture across the center of the beam
33,Complete vertical fracture across the center of the beam. Small middle part of the top flange also fractured and seperated from the web
34,Complete vertical fracture across the center of the beam
35,Twisted off the test stand and flipped over
36,Complete vertical fracture across the center of the beam
37,Complete vertical fracture across the center of the beam
38,Complete vertical fracture across the center of the beam. Some jaggedness in the fracture between the regions of the top flange and the web.
39,"Vertical fracture on the bottom of the beam, but not completely through the beam"
40,Seperation of the top flange and the web. No vertical fracture
41,"Vertical fracture on the bottom of the beam, but not completely through the beam"
42,Complete vertical fracture across the center of the beam
43,Complete vertical fracture across the center of the beam
44,Seperation of the top flange and the web. No vertical fracture
